"","strain","clade","MTL","zygosity","line","rep","enviro","all0.1","all0.1.sd","all0.1.se","place","col","place72","col72","col72a","all0.1.72","all0.1.72.sd","all0.1.72.se","all10.1","all10.1.sd","all10.1.se","all10.1.72","all10.1.72.sd","all10.1.72.se","t0.G1.1","t10.G1.1","t10.G1.2","t10.G1.3","MIC24","MIC48","MIC72","MIC24.10","MIC48.10","MIC72.10","SMG24","SMG48","SMG72","SMG24.10","SMG48.10","SMG72.10","line.1","rep.1","change24","change48","change72","place.1","place72.1","col.1","col72.1","cola","col72a.1","lr","pch","delta1.24","delta1.72","change24.SMG","change48.SMG","change72.SMG","place72_MIC"
"2_9","2","4","a/a","hom","2","9","1",1.053625,NA,NA,"15","#39558CFF",10,"#1F968BFF","#1F968B80",1.259,NA,NA,1.3425,0.137885822331377,0.137885822331377,1.7045,0.00212132034355957,0.00212132034355957,172.5,259.367088607595,NA,NA,0.75,1,1,1,1,1,0.126912025850538,0.135714218804643,0.155541266335759,0.0725,0.0669828097213989,0.0714874176153385,"2","9",0.25,0,0,15,10,"#39558CFF","#1F968BFF","#39558C80","#1F968B80","2-9",21,0.288875,0.4455,-0.0544120258505384,-0.0687314090832439,-0.0840538487204205,12
"2_10","2","4","a/a","hom","2","10","1",0.879125,NA,NA,"15","#39558CFF",10,"#1F968BFF","#1F968B80",1.144125,NA,NA,0.8205,0.799737769521985,0.799737769521985,1.684,0.0014142135623731,0.0014142135623731,163,382.566455696203,193.444620253165,NA,0.75,1,1,1,1,1,0.126912025850538,0.135714218804643,0.155541266335759,0.2725,0.0383977066988533,0.0387994683992912,"2","10",0.25,0,0,15,10,"#39558CFF","#1F968BFF","#39558C80","#1F968B80","2-10",24,-0.058625,0.539875,0.145587974149462,-0.0973165121057895,-0.116741797936468,12
"2_11","2","4","a/a","hom","2","11","1",0.90425,NA,NA,"15","#39558CFF",10,"#1F968BFF","#1F968B80",1.16775,NA,NA,1.1355,0.323147799002252,0.323147799002252,1.7145,0.0685893577750951,0.0685893577750951,160.5,217.219936708861,NA,NA,0.75,1,1,1,1,1,0.126912025850538,0.135714218804643,0.155541266335759,0.111952861952862,0.0450624628197501,0.0472452606635071,"2","11",0.25,0,0,15,10,"#39558CFF","#1F968BFF","#39558C80","#1F968B80","2-11",21,0.23125,0.54675,-0.0149591638976764,-0.0906517559848927,-0.108296005672252,12
"2_12","2","4","a/a","hom","2","12","1",0.943125,NA,NA,"15","#39558CFF",10,"#1F968BFF","#1F968B80",1.162375,NA,NA,0.821,0.77216060505571,0.77216060505571,1.716,0.0339411254969543,0.0339411254969543,180,215.058544303797,NA,NA,0.75,1,1,1,1,1,0.126912025850538,0.135714218804643,0.155541266335759,0.09375,0.0551116971765436,0.0837327741162373,"2","12",0.25,0,0,15,10,"#39558CFF","#1F968BFF","#39558C80","#1F968B80","2-12",21,-0.122125,0.553625,-0.0331620258505384,-0.0806025216280993,-0.0718084922195218,12
"3_1","3","4","_/_","hom","3","1","1",0.33275,NA,NA,"4","#94D840FF",3,"#B8DE29FF","#B8DE2980",0.648625,NA,NA,0.7035,0.25809397513309,0.25809397513309,1.318,0.0395979797464467,0.0395979797464467,170,237.753164556962,NA,NA,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.113978815438686,0.179558262761348,0.26944541285503,0.437125748502994,0.604121129326047,0.728090539756239,"3","1",0,0,0,4,3,"#94D840FF","#B8DE29FF","#94D84080","#B8DE2980","3-1",21,0.37075,0.669375,0.323146933064308,0.4245628665647,0.458645126901209,3
"3_2","3","4","_/_","hom","3","2","1",0.23625,NA,NA,"4","#94D840FF",3,"#B8DE29FF","#B8DE2980",0.60325,NA,NA,0.6195,0.0841457069611991,0.0841457069611991,1.201,0.0452548339959391,0.0452548339959391,169.5,217.219936708861,NA,NA,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.113978815438686,0.179558262761348,0.26944541285503,0.455450935178068,0.583751626696412,0.676897642323174,"3","2",0,0,0,4,3,"#94D840FF","#B8DE29FF","#94D84080","#B8DE2980","3-2",21,0.38325,0.59775,0.341472119739382,0.404193363935064,0.407452229468144,3
"3_3","3","4","_/_","hom","3","3","1",0.288875,NA,NA,"4","#94D840FF",3,"#B8DE29FF","#B8DE2980",0.781,NA,NA,1.1395,0.212839141137151,0.212839141137151,1.6185,0.0898025612106915,0.0898025612106915,167.5,271.254746835443,NA,NA,0.0625,0.0625,0.0625,0.5,4,32,0.113978815438686,0.179558262761348,0.26944541285503,0.543468321358589,0.78256880733945,0.856125356125356,"3","3",0.4375,3.9375,31.9375,4,3,"#94D840FF","#B8DE29FF","#94D84080","#B8DE2980","3-3",21,0.850625,0.8375,0.429489505919903,0.603010544578102,0.586679943270326,3
"3_4","3","4","_/_","hom","3","4","1",0.388125,NA,NA,"4","#94D840FF",3,"#B8DE29FF","#B8DE2980",0.822375,NA,NA,0.462,0.379009234715989,0.379009234715989,1.351,0.0325269119345812,0.0325269119345812,171.5,311.240506329114,NA,NA,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.113978815438686,0.179558262761348,0.26944541285503,0.31691102486704,0.529776739356179,0.696959014852416,"3","4",0,0,0,4,3,"#94D840FF","#B8DE29FF","#94D84080","#B8DE2980","3-4",21,0.073875,0.528625,0.202932209428355,0.350218476594831,0.427513601997385,3
"3_5","3","4","_/_","hom","3","5","1",0.26025,NA,NA,"4","#94D840FF",3,"#B8DE29FF","#B8DE2980",0.772875,NA,NA,0.6305,0.204353859762912,0.204353859762912,1.3755,0.1209152595829,0.1209152595829,166,238.833860759494,NA,NA,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.113978815438686,0.179558262761348,0.26944541285503,0.380239735859891,0.60447373393802,0.735380539499037,"3","5",0,0,0,4,3,"#94D840FF","#B8DE29FF","#94D84080","#B8DE2980","3-5",21,0.37025,0.602625,0.266260920421205,0.424915471176672,0.465935126644006,3
"3_6","3","4","_/_","hom","3","6","1",0.313,NA,NA,"4","#94D840FF",3,"#B8DE29FF","#B8DE2980",0.899875,NA,NA,0.6835,0.118086832458153,0.118086832458153,1.274,0.00282842712474619,0.00282842712474619,164,249.64082278481,NA,NA,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.113978815438686,0.179558262761348,0.26944541285503,0.314980158730159,0.51158200152207,0.653529183633896,"3","6",0,0,0,4,3,"#94D840FF","#B8DE29FF","#94D84080","#B8DE2980","3-6",21,0.3705,0.374125,0.201001343291473,0.332023738760722,0.384083770778865,3
