Line,t0 G1.1,t0b G1.1,t3 G1.1,t3 G1.2,t3 weird,t5 G1.1,t5 G1.2,t5 weird,t8 G1.1,t8 G1.2,weird,t10 G1.1,t10 G1.2,t10 G1.3,t10 weird,t10 WD,t10b G1.1,t10b G1.2,,
A13-E11,141,164,174,,,236,,,145,,,178,357,,,1,194,,,
A13-E12,149,161,191,,,263,,,144,,,213,313,170,messy,0,,,,
A14-F01,164,149,155,,messy s+,227,,,174,,x,133,223,286,messy,0,,,,
A14-F02,160,151,180,,,228,,,158,,x,211,,,,1,,,,
A14-F03,165,149,188,362,messy,255,322,,122,,,231,,,messy,0,,,,
A14-F04,166,150,174,,,,,x,147,,,186,,,messy,-1,,,,
A14-F05,158,140,154,347,,234,,,146,,,192,358,,,1,,,,
A14-F06,168,149,368,172,,236,,,,,x,312,,,blob,0,,,,
A14-F07,161,151,201,,poor fit,,,x,188,,x,289,,,blob,0,249,,,
A14-F08,171,153,133,,,,,x,147,277,x,428,,,blob,0,396,,,
A14-F09,168,153,176,,messy s+,,,x,169,,x,216,,,,1,139,,,
A14-F10,178,158,152,336,,229,,,138,,,170,347,,,1,,,,x
A14-F11,165,166,227,,messy,,,x,184,,,234,,,x,1,125,198,,
A14-F12,159,162,190,,,,,x,,,x,274,,,blob,0,231,,,x
A15-G01,177,170,188,370,messy,228,,,151,,,191,,,,1,,,,
A15-G02,177,170,171,365,,234,,,134,,,160,363,,,1,,,,
A15-G03,189,171,195,380,,240,,,134,,,176,358,,,1,,,,
A15-G04,175,170,186,353,messy,252,,,139,,,364,174,,,1,152,224,,x
A15-G05,175,170,196,362,messy,,,x,132,,,167,348,,,1,,,,
A15-G06,173,171,195,379,messy,,,x,152,,x,203,398,,messy,1,,,,
A15-G07,171,168,176,359,messy,224,,,136,,,170,355,,,1,198,377,,
A15-G08,156,171,176,,,264,,x,155,,,197,384,,,1,184,,,
A15-G09,170,170,343,174,messy,234,,,263,,,296,,,,1,203,347,,
A15-G10,173,169,181,,,275,,,158,,,192,,,,1,218,403,,
A15-G11,172,170,191,,,,,x,161,,,203,,,,0,222,385,,
A15-G12,172,172,188,367,messy,246,,,139,,,174,,,,0,131,200,,
A16-H01,159,157,157,,messy,,,x,132,187,,378,,,,0,150,,,
A16-H02,167,176,193,,,304,,,169,,,161,,,no g2,0,,,,
A16-H03,149,149,136,,many peaks?,231,,,131,,,176,,,,1,,,,
A16-H04,169,159,183,,poor fit,334,,,186,,,239,,,,0,,,,
A16-H05,164,159,172,,poor fit,,,x,159,231,,301,,,"no g2, 2 peak?",0,,,,
A16-H06,158,156,198,,poor fit,311,,,181,,,242,,,messy,1,,,,
A16-H07,150,162,164,,poor fit,242,,,140,,,179,,,,0,,,,
A16-H08,152,164,175,,poor fit,247,,,139,,,176,366,,,1,,,,
A16-H09,156,168,227,,messy s+,,,x,198,,,246,,,,0,,,,
A16-H10,171,166,196,,,279,331,,171,,,219,437,,messy,1,,,,
A16-H11,187,169,205,325,messy,,,x,149,239,,201,311,375,,0,,,,
A16-H12,171,168,192,,messy,,,x,160,,,195,,,,0,,,,
SC-A01,182,165,161,,,205,,,136,,,184,,,,0,222,,,x
SC-A02,182,179,170,,extra peaks?,206,,,134,,,159,322,,,1,167,,,
SC-A03,181,163,180,,,251,,,141,,,367,181,,,1,191,,,
SC-A04,183,159,193,,,262,,,167,,,205,,,,1,216,183,,
SC-A05,146,161,168,,extra peaks?,220,,x,139,,,373,186,,,1,159,,,x
SC-A06,187,161,172,,,213,,x,130,,,326,168,,,1,171,,,
SC-A07,190,162,169,,,207,,,137,,,194,,,messy,0,186,359,,
SC-A08,186,160,165,,,208,,,132,,,169,213,328,,0,173,,,
SC-A09,180,167,172,,,209,,,132,216,x,267,167,,,1,257,173,,
SC-A10,191,170,182,,,249,,,144,,,169,,,,1,192,,,
