
 "line","enviro","col","gen","data"
9,1,4,"t0",0.358
9,1,5,"t0",0.481
9,1,6,"t0",0.63
9,1,7,"t0",0.485
9,1,8,"t0",0.574
9,1,9,"t0",0.822
9,1,10,"t0",0.589
9,1,11,"t0",0.907
9,1,12,"t0",0.989
9,8,1,"t0",0.185
9,8,2,"t0",0.174
9,8,3,"t0",0.176
9,8,4,"t0",0.174
9,8,5,"t0",0.179
9,8,6,"t0",0.221
9,8,7,"t0",0.191
9,8,8,"t0",0.171
9,8,9,"t0",0.179
9,8,10,"t0",0.168
9,8,11,"t0",0.189
9,8,12,"t0",0.164
9,32,1,"t0",0.166
9,32,2,"t0",0.178
9,32,3,"t0",0.15
9,32,4,"t0",0.181
9,32,5,"t0",0.144
9,32,6,"t0",0.145
9,32,7,"t0",0.151
9,32,8,"t0",0.153
9,32,9,"t0",0.163
9,32,10,"t0",0.354
9,32,11,"t0",0.325
9,32,12,"t0",0.173
10,0,1,"t0",1.696
10,0,2,"t0",1.673
10,0,3,"t0",1.677
10,0,4,"t0",1.666
10,0,5,"t0",1.655
10,0,6,"t0",1.671
10,0,7,"t0",1.66
10,0,8,"t0",1.669
10,0,9,"t0",1.664
10,0,10,"t0",1.666
10,0,11,"t0",1.655
10,0,12,"t0",1.702
10,1,1,"t0",1.345
10,1,2,"t0",1.039
10,1,3,"t0",1.239
10,1,4,"t0",1.387
10,1,5,"t0",1.441
10,1,6,"t0",1.479
10,1,7,"t0",1.423
10,1,8,"t0",1.4
10,1,9,"t0",1.359
10,1,10,"t0",1.451
10,1,11,"t0",1.491
10,1,12,"t0",1.391
10,8,1,"t0",0.225
10,8,2,"t0",0.27
10,8,3,"t0",0.275
10,8,4,"t0",0.233
10,8,5,"t0",0.227
10,8,6,"t0",0.274
10,8,7,"t0",0.229
10,8,8,"t0",0.219
10,8,9,"t0",0.238
10,8,10,"t0",0.365
10,8,11,"t0",0.267
10,8,12,"t0",0.354
10,32,1,"t0",0.262
10,32,2,"t0",0.283
10,32,3,"t0",0.233
10,32,4,"t0",0.18
10,32,5,"t0",0.175
10,32,6,"t0",0.173
10,32,7,"t0",0.217
10,32,8,"t0",0.193
10,32,9,"t0",0.215
10,32,10,"t0",0.208
10,32,11,"t0",0.222
10,32,12,"t0",0.235
11,0,1,"t0",1.712
11,0,2,"t0",1.725
11,0,3,"t0",1.742
11,0,4,"t0",1.671
11,0,5,"t0",1.668
11,0,6,"t0",1.663
11,0,7,"t0",1.557
11,0,8,"t0",1.554
11,0,9,"t0",1.424
11,0,10,"t0",1.486
11,0,11,"t0",1.686
11,0,12,"t0",1.23
11,1,1,"t0",0.253
11,1,2,"t0",0.266
11,1,3,"t0",0.262
11,1,4,"t0",0.23
11,1,5,"t0",0.24
11,1,6,"t0",0.246
11,1,7,"t0",0.245
11,1,8,"t0",0.249
11,1,9,"t0",0.211
11,1,10,"t0",0.25
11,1,11,"t0",0.265
11,1,12,"t0",0.24
11,8,1,"t0",0.177
11,8,2,"t0",0.195
11,8,3,"t0",0.173
11,8,4,"t0",0.177
11,8,5,"t0",0.166
11,8,6,"t0",0.156
11,8,7,"t0",0.159
11,8,8,"t0",0.162
11,8,9,"t0",0.174
11,8,10,"t0",0.188
11,8,11,"t0",0.212
11,8,12,"t0",0.169
11,32,1,"t0",0.199
11,32,2,"t0",0.185
11,32,3,"t0",0.171
11,32,4,"t0",0.179
11,32,5,"t0",0.165
11,32,6,"t0",0.17
11,32,7,"t0",0.16
11,32,8,"t0",0.146
11,32,9,"t0",0.167
11,32,10,"t0",0.189
11,32,11,"t0",0.195
11,32,12,"t0",0.177
12,0,1,"t0",1.529
12,0,2,"t0",1.563
12,0,3,"t0",1.525
12,0,4,"t0",1.553
12,0,5,"t0",1.488
12,0,6,"t0",1.567
12,0,7,"t0",1.551
12,0,8,"t0",1.508
12,0,9,"t0",1.535
12,0,10,"t0",1.502
12,0,11,"t0",1.614
12,0,12,"t0",1.289
12,1,1,"t0",1.514
12,1,2,"t0",1.438
12,1,3,"t0",1.435
12,1,4,"t0",1.455
12,1,5,"t0",1.407
12,1,6,"t0",1.465
12,1,7,"t0",1.394
12,1,8,"t0",1.486
12,1,9,"t0",1.471
12,1,10,"t0",1.531
12,1,11,"t0",1.558
12,1,12,"t0",1.542
12,8,1,"t0",1.487
12,8,2,"t0",1.351
12,8,3,"t0",1.337
12,8,4,"t0",1.304
12,8,5,"t0",1.242
12,8,6,"t0",1.291
12,8,7,"t0",1.333
12,8,8,"t0",1.398
12,8,9,"t0",1.398
12,8,10,"t0",1.418
12,8,11,"t0",1.48
12,8,12,"t0",1.415
12,32,1,"t0",1.338
12,32,2,"t0",1.118
12,32,3,"t0",1.255
12,32,4,"t0",1.039
12,32,5,"t0",1.193
12,32,6,"t0",1.033
12,32,7,"t0",0.976
12,32,8,"t0",1.014
12,32,9,"t0",1.114
12,32,10,"t0",1.322
12,32,11,"t0",1.4
12,32,12,"t0",1.218
13,0,1,"t0",1.833
13,0,2,"t0",1.787
13,0,3,"t0",1.783
13,0,4,"t0",1.81
13,0,5,"t0",1.757
13,0,6,"t0",1.749
13,0,7,"t0",1.761
13,0,8,"t0",1.74
13,0,9,"t0",1.708
13,0,10,"t0",1.71
13,0,11,"t0",1.715
13,0,12,"t0",1.769
13,1,1,"t0",0.169
13,1,2,"t0",0.223
13,1,3,"t0",0.167
13,1,4,"t0",0.244
13,1,5,"t0",0.211
13,1,6,"t0",0.197
13,1,7,"t0",0.186
13,1,8,"t0",0.195
13,1,9,"t0",0.176
13,1,10,"t0",0.204
13,1,11,"t0",0.157
13,1,12,"t0",0.183
13,8,1,"t0",0.145
13,8,2,"t0",0.135
13,8,3,"t0",0.13
13,8,4,"t0",0.137
13,8,5,"t0",0.131
13,8,6,"t0",0.134
13,8,7,"t0",0.131
13,8,8,"t0",0.135
13,8,9,"t0",0.156
13,8,10,"t0",0.171
13,8,11,"t0",0.182
13,8,12,"t0",0.143
13,32,1,"t0",0.132
13,32,2,"t0",0.128
13,32,3,"t0",0.124
13,32,4,"t0",0.133
13,32,5,"t0",0.127
13,32,6,"t0",0.126
13,32,7,"t0",0.125
13,32,8,"t0",0.125
13,32,9,"t0",0.137
13,32,10,"t0",0.141
13,32,11,"t0",0.129
13,32,12,"t0",0.143
14,0,1,"t0",1.774
14,0,2,"t0",1.752
14,0,3,"t0",1.702
14,0,4,"t0",1.694
14,0,5,"t0",1.627
14,0,6,"t0",1.652
14,0,7,"t0",1.499
14,0,8,"t0",1.677
14,0,9,"t0",1.191
14,0,10,"t0",1.132
14,0,11,"t0",1.206
14,0,12,"t0",1.142
14,1,1,"t0",0.943
14,1,2,"t0",1.311
14,1,3,"t0",0.925
14,1,4,"t0",1.1
14,1,5,"t0",0.732
14,1,6,"t0",0.864
14,1,7,"t0",0.79
14,1,8,"t0",0.802
14,1,9,"t0",0.441
14,1,10,"t0",0.542
14,1,11,"t0",0.474
14,1,12,"t0",0.681
14,8,1,"t0",0.268
14,8,2,"t0",0.283
14,8,3,"t0",0.271
14,8,4,"t0",0.264
14,8,5,"t0",0.264
14,8,6,"t0",0.257
14,8,7,"t0",0.207
14,8,8,"t0",0.226
14,8,9,"t0",0.237
14,8,10,"t0",0.344
14,8,11,"t0",0.306
14,8,12,"t0",0.35
14,32,1,"t0",0.247
14,32,2,"t0",0.236
14,32,3,"t0",0.222
14,32,4,"t0",0.233
14,32,5,"t0",0.218
14,32,6,"t0",0.197
14,32,7,"t0",0.21
14,32,8,"t0",0.191
14,32,9,"t0",0.228
14,32,10,"t0",0.279
14,32,11,"t0",0.282
14,32,12,"t0",0.334
15,0,1,"t0",1.635
15,0,2,"t0",1.614
15,0,3,"t0",1.603
15,0,4,"t0",1.599
15,0,5,"t0",1.58
15,0,6,"t0",1.591
15,0,7,"t0",1.606
15,0,8,"t0",1.637
15,0,9,"t0",1.595
15,0,10,"t0",1.579
15,0,11,"t0",1.587
15,0,12,"t0",1.629
15,1,1,"t0",1.239
15,1,2,"t0",0.652
15,1,3,"t0",0.839
15,1,4,"t0",0.451
15,1,5,"t0",0.817
15,1,6,"t0",0.648
15,1,7,"t0",1.197
15,1,8,"t0",1.337
15,1,9,"t0",1.012
15,1,10,"t0",0.835
15,1,11,"t0",1.453
15,1,12,"t0",1.537
15,8,1,"t0",0.136
15,8,2,"t0",0.128
15,8,3,"t0",0.133
15,8,4,"t0",0.135
15,8,5,"t0",0.126
15,8,6,"t0",0.134
15,8,7,"t0",0.132
15,8,8,"t0",0.125
15,8,9,"t0",0.14
15,8,10,"t0",0.151
15,8,11,"t0",0.132
15,8,12,"t0",0.133
15,32,1,"t0",0.139
15,32,2,"t0",0.128
15,32,3,"t0",0.128
15,32,4,"t0",0.129
15,32,5,"t0",0.129
15,32,6,"t0",0.129
15,32,7,"t0",0.125
15,32,8,"t0",0.127
15,32,9,"t0",0.139
15,32,10,"t0",0.131
15,32,11,"t0",0.13
15,32,12,"t0",0.136
16,0,1,"t0",1.751
16,0,2,"t0",1.696
16,0,3,"t0",1.709
16,0,4,"t0",1.373
16,0,5,"t0",1.706
16,0,6,"t0",1.687
16,0,7,"t0",1.572
16,0,8,"t0",1.571
16,0,9,"t0",1.309
16,0,10,"t0",1.492
16,0,11,"t0",1.432
16,0,12,"t0",1.196
16,1,1,"t0",1.619
16,1,2,"t0",1.437
16,1,3,"t0",1.345
16,1,4,"t0",1.377
16,1,5,"t0",1.094
16,1,6,"t0",0.988
16,1,7,"t0",1.086
16,1,8,"t0",1.215
16,1,9,"t0",0.646
16,1,10,"t0",0.716
16,1,11,"t0",0.933
16,1,12,"t0",1.025
16,8,1,"t0",0.224
16,8,2,"t0",0.219
16,8,3,"t0",0.177
16,8,4,"t0",0.179
16,8,5,"t0",0.166
16,8,6,"t0",0.21
16,8,7,"t0",0.213
16,8,8,"t0",0.22
16,8,9,"t0",0.261
16,8,10,"t0",0.275
16,8,11,"t0",0.25
16,8,12,"t0",0.247
16,32,1,"t0",0.217
16,32,2,"t0",0.193
16,32,3,"t0",0.161
16,32,4,"t0",0.172
16,32,5,"t0",0.165
16,32,6,"t0",0.159
16,32,7,"t0",0.254
16,32,8,"t0",0.213
16,32,9,"t0",0.231
16,32,10,"t0",0.268
16,32,11,"t0",0.193
16,32,12,"t0",0.26
17,0,1,"t0",1.888
17,0,2,"t0",1.851
17,0,3,"t0",1.844
17,0,4,"t0",1.863
17,0,5,"t0",1.856
17,0,6,"t0",1.827
17,0,7,"t0",1.831
17,0,8,"t0",1.824
17,0,9,"t0",1.821
17,0,10,"t0",1.802
17,0,11,"t0",1.821
17,0,12,"t0",1.826
17,1,1,"t0",0.168
17,1,2,"t0",0.229
17,1,3,"t0",0.201
17,1,4,"t0",0.205
17,1,5,"t0",0.183
17,1,6,"t0",0.185
17,1,7,"t0",0.179
17,1,8,"t0",0.157
17,1,9,"t0",0.178
17,1,10,"t0",0.167
17,1,11,"t0",0.166
17,1,12,"t0",0.212
17,8,1,"t0",0.144
17,8,2,"t0",0.149
17,8,3,"t0",0.155
17,8,4,"t0",0.144
17,8,5,"t0",0.155
17,8,6,"t0",0.143
17,8,7,"t0",0.143
17,8,8,"t0",0.14
17,8,9,"t0",0.152
17,8,10,"t0",0.144
17,8,11,"t0",0.135
17,8,12,"t0",0.145
17,32,1,"t0",0.145
17,32,2,"t0",0.142
17,32,3,"t0",0.139
17,32,4,"t0",0.14
17,32,5,"t0",0.135
17,32,6,"t0",0.135
17,32,7,"t0",0.136
17,32,8,"t0",0.134
17,32,9,"t0",0.14
17,32,10,"t0",0.138
17,32,11,"t0",0.138
17,32,12,"t0",0.148
18,0,1,"t0",1.866
18,0,2,"t0",1.846
18,0,3,"t0",1.761
18,0,4,"t0",1.799
18,0,5,"t0",1.792
18,0,6,"t0",1.817
18,0,7,"t0",1.824
18,0,8,"t0",1.826
18,0,9,"t0",1.815
18,0,10,"t0",1.809
18,0,11,"t0",1.826
18,0,12,"t0",1.789
18,1,1,"t0",1.843
18,1,2,"t0",1.829
18,1,3,"t0",1.764
18,1,4,"t0",1.799
18,1,5,"t0",1.776
18,1,6,"t0",1.773
18,1,7,"t0",1.788
18,1,8,"t0",1.809
18,1,9,"t0",1.79
18,1,10,"t0",1.779
18,1,11,"t0",1.781
18,1,12,"t0",1.783
18,8,1,"t0",0.259
18,8,2,"t0",0.247
18,8,3,"t0",0.25
18,8,4,"t0",0.241
18,8,5,"t0",0.247
18,8,6,"t0",0.258
18,8,7,"t0",0.315
18,8,8,"t0",0.249
18,8,9,"t0",0.279
18,8,10,"t0",0.294
18,8,11,"t0",0.364
18,8,12,"t0",0.278
18,32,1,"t0",0.278
18,32,2,"t0",0.256
18,32,3,"t0",0.214
18,32,4,"t0",0.222
18,32,5,"t0",0.211
18,32,6,"t0",0.217
18,32,7,"t0",0.27
18,32,8,"t0",0.314
18,32,9,"t0",0.293
18,32,10,"t0",0.282
18,32,11,"t0",0.259
18,32,12,"t0",0.311
19,0,1,"t0",1.757
19,0,2,"t0",1.766
19,0,3,"t0",1.791
19,0,4,"t0",1.782
