"line","enviro","col","gen","data"
16,0,5,"t0",1.863
16,0,6,"t0",1.856
16,0,7,"t0",1.846
16,0,8,"t0",1.851
16,0,9,"t0",1.827
16,0,10,"t0",1.798
16,0,11,"t0",1.856
16,0,12,"t0",1.801
16,1,1,"t0",1.815
16,1,2,"t0",1.789
16,1,3,"t0",1.79
16,1,4,"t0",1.806
16,1,5,"t0",1.704
16,1,6,"t0",1.768
16,1,7,"t0",1.678
16,1,8,"t0",1.732
16,1,9,"t0",1.466
16,1,10,"t0",1.487
16,1,11,"t0",1.624
16,1,12,"t0",1.659
16,8,1,"t0",1.2
16,8,2,"t0",1.018
16,8,3,"t0",0.816
16,8,4,"t0",0.921
16,8,5,"t0",0.857
16,8,6,"t0",0.795
16,8,7,"t0",0.984
16,8,8,"t0",0.978
16,8,9,"t0",1.059
16,8,10,"t0",1.052
16,8,11,"t0",1.069
16,8,12,"t0",0.762
16,32,1,"t0",1.102
16,32,2,"t0",0.98
16,32,3,"t0",1.042
16,32,4,"t0",0.943
16,32,5,"t0",0.914
16,32,6,"t0",1.062
16,32,7,"t0",0.872
16,32,8,"t0",0.993
16,32,9,"t0",1.018
16,32,10,"t0",1.125
16,32,11,"t0",0.941
16,32,12,"t0",0.96
17,0,1,"t0",1.891
17,0,2,"t0",1.874
17,0,3,"t0",1.867
17,0,4,"t0",1.878
17,0,5,"t0",1.872
17,0,6,"t0",1.858
17,0,7,"t0",1.853
17,0,8,"t0",1.854
17,0,9,"t0",1.841
17,0,10,"t0",1.822
17,0,11,"t0",1.832
17,0,12,"t0",1.828
17,1,1,"t0",0.526
17,1,2,"t0",0.344
17,1,3,"t0",0.371
17,1,4,"t0",0.511
17,1,5,"t0",0.374
17,1,6,"t0",0.474
17,1,7,"t0",0.927
17,1,8,"t0",0.412
17,1,9,"t0",0.617
17,1,10,"t0",0.581
17,1,11,"t0",0.561
17,1,12,"t0",0.525
17,8,1,"t0",0.261
17,8,2,"t0",0.367
17,8,3,"t0",0.312
17,8,4,"t0",0.201
17,8,5,"t0",0.317
17,8,6,"t0",0.317
17,8,7,"t0",0.457
17,8,8,"t0",0.3
17,8,9,"t0",0.356
17,8,10,"t0",0.245
17,8,11,"t0",0.252
17,8,12,"t0",0.418
17,32,1,"t0",0.291
17,32,2,"t0",0.443
17,32,3,"t0",0.398
17,32,4,"t0",0.394
17,32,5,"t0",0.26
17,32,6,"t0",0.289
17,32,7,"t0",0.231
17,32,8,"t0",0.294
17,32,9,"t0",0.248
17,32,10,"t0",0.279
17,32,11,"t0",0.276
17,32,12,"t0",0.326
18,0,1,"t0",1.893
18,0,2,"t0",1.882
18,0,3,"t0",1.869
18,0,4,"t0",1.869
18,0,5,"t0",1.852
18,0,6,"t0",1.871
18,0,7,"t0",1.855
18,0,8,"t0",1.871
18,0,9,"t0",1.85
18,0,10,"t0",1.83
18,0,11,"t0",1.862
18,0,12,"t0",1.829
18,1,1,"t0",1.865
18,1,2,"t0",1.858
18,1,3,"t0",1.856
18,1,4,"t0",1.855
18,1,5,"t0",1.838
18,1,6,"t0",1.853
18,1,7,"t0",1.832
18,1,8,"t0",1.867
18,1,9,"t0",1.842
18,1,10,"t0",1.822
18,1,11,"t0",1.837
18,1,12,"t0",1.837
18,8,1,"t0",0.936
18,8,2,"t0",0.886
18,8,3,"t0",0.922
18,8,4,"t0",0.677
18,8,5,"t0",1.415
18,8,6,"t0",0.751
18,8,7,"t0",1.564
18,8,8,"t0",0.689
18,8,9,"t0",1.406
18,8,10,"t0",1.684
18,8,11,"t0",1.546
18,8,12,"t0",1.246
18,32,1,"t0",1.03
18,32,2,"t0",0.825
18,32,3,"t0",0.803
18,32,4,"t0",0.79
18,32,5,"t0",0.673
18,32,6,"t0",0.663
18,32,7,"t0",0.75
18,32,8,"t0",0.917
18,32,9,"t0",0.81
18,32,10,"t0",0.873
18,32,11,"t0",0.839
18,32,12,"t0",1.299
19,0,1,"t0",1.947
19,0,2,"t0",1.928
19,0,3,"t0",1.93
19,0,4,"t0",1.941
19,0,5,"t0",1.936
19,0,6,"t0",1.921
19,0,7,"t0",1.915
19,0,8,"t0",1.887
19,0,9,"t0",1.888
19,0,10,"t0",1.893
19,0,11,"t0",1.894
19,0,12,"t0",1.845
19,1,1,"t0",1.43
19,1,2,"t0",1.604
19,1,3,"t0",1.522
19,1,4,"t0",1.141
19,1,5,"t0",1.18
19,1,6,"t0",1.329
19,1,7,"t0",1.293
19,1,8,"t0",1.52
19,1,9,"t0",1.335
19,1,10,"t0",1.499
19,1,11,"t0",1.047
19,1,12,"t0",0.956
19,8,1,"t0",0.546
19,8,2,"t0",0.661
19,8,3,"t0",0.644
19,8,4,"t0",0.519
19,8,5,"t0",0.617
19,8,6,"t0",0.576
19,8,7,"t0",0.71
19,8,8,"t0",0.56
19,8,9,"t0",0.638
19,8,10,"t0",0.6
19,8,11,"t0",0.673
19,8,12,"t0",0.514
19,32,1,"t0",0.501
19,32,2,"t0",0.727
19,32,3,"t0",0.318
19,32,4,"t0",0.307
19,32,5,"t0",0.557
19,32,6,"t0",0.503
19,32,7,"t0",0.527
19,32,8,"t0",0.412
19,32,9,"t0",0.471
19,32,10,"t0",0.63
19,32,11,"t0",0.742
19,32,12,"t0",0.417
20,0,1,"t0",1.904
20,0,2,"t0",1.888
20,0,3,"t0",1.865
20,0,4,"t0",1.879
20,0,5,"t0",1.858
20,0,6,"t0",1.863
20,0,7,"t0",1.84
20,0,8,"t0",1.83
20,0,9,"t0",1.826
20,0,10,"t0",1.807
20,0,11,"t0",1.792
20,0,12,"t0",1.71
20,1,1,"t0",1.817
20,1,2,"t0",1.78
20,1,3,"t0",1.748
20,1,4,"t0",1.789
20,1,5,"t0",1.756
20,1,6,"t0",1.744
20,1,7,"t0",1.715
20,1,8,"t0",1.695
20,1,9,"t0",1.697
20,1,10,"t0",1.718
20,1,11,"t0",1.664
20,1,12,"t0",1.69
20,8,1,"t0",0.565
20,8,2,"t0",0.616
20,8,3,"t0",0.548
20,8,4,"t0",0.53
20,8,5,"t0",0.561
20,8,6,"t0",0.621
20,8,7,"t0",0.595
20,8,8,"t0",0.735
20,8,9,"t0",0.76
20,8,10,"t0",0.669
20,8,11,"t0",0.576
20,8,12,"t0",0.686
20,32,1,"t0",0.623
20,32,2,"t0",0.517
20,32,3,"t0",0.786
20,32,4,"t0",0.394
20,32,5,"t0",0.346
20,32,6,"t0",0.566
20,32,7,"t0",0.455
20,32,8,"t0",0.766
20,32,9,"t0",0.601
20,32,10,"t0",0.681
20,32,11,"t0",0.516
20,32,12,"t0",0.509
1,0,1,"t10",1.906
1,0,2,"t10",1.887
1,0,3,"t10",1.872
1,0,4,"t10",1.892
1,0,5,"t10",1.87
1,0,6,"t10",1.866
1,0,7,"t10",1.858
1,0,8,"t10",1.88
1,0,9,"t10",1.874
1,0,10,"t10",1.84
