"line","enviro","rep","gen","data","time"
"8",512,2,"t0d",0.8855,24
"8",512,3,"t0d",1.134,24
"8",512,4,"t0d",1.254,24
"8",512,5,"t0d",1.2185,24
"8",512,6,"t0d",1.1635,24
"8",512,7,"t0d",0.9995,24
"8",512,8,"t0d",1.2015,24
"8",512,9,"t0d",1.395,24
"8",512,10,"t0d",1.268,24
"8",512,11,"t0d",1.0235,24
"8",512,12,"t0d",1.116,24
"9",0,1,"t0d",1.492,24
"9",0,2,"t0d",1.4925,24
"9",0,3,"t0d",1.488,24
"9",0,4,"t0d",1.518,24
"9",0,5,"t0d",1.5175,24
"9",0,6,"t0d",1.4625,24
"9",0,7,"t0d",1.4635,24
"9",0,8,"t0d",1.4935,24
"9",0,9,"t0d",1.4525,24
"9",0,10,"t0d",1.442,24
"9",0,11,"t0d",1.493,24
"9",0,12,"t0d",1.4425,24
"9",1,1,"t0d",0.335,24
"9",1,2,"t0d",0.44,24
"9",1,3,"t0d",0.482,24
"9",1,4,"t0d",0.5635,24
"9",1,5,"t0d",0.671,24
"9",1,6,"t0d",0.4675,24
"9",1,7,"t0d",0.4885,24
"9",1,8,"t0d",0.466,24
"9",1,9,"t0d",0.3875,24
"9",1,10,"t0d",0.39,24
"9",1,11,"t0d",0.3865,24
"9",1,12,"t0d",0.3215,24
"9",128,1,"t0d",0.1235,24
"9",128,2,"t0d",0.156,24
"9",128,3,"t0d",0.1835,24
"9",128,4,"t0d",0.1925,24
"9",128,5,"t0d",0.286,24
"9",128,6,"t0d",0.171,24
"9",128,7,"t0d",0.1815,24
"9",128,8,"t0d",0.192,24
"9",128,9,"t0d",0.151,24
"9",128,10,"t0d",0.1455,24
"9",128,11,"t0d",0.1885,24
"9",128,12,"t0d",0.114,24
"9",512,1,"t0d",0.865,24
"9",512,2,"t0d",1.06,24
"9",512,3,"t0d",1.0525,24
"9",512,4,"t0d",1.1195,24
"9",512,5,"t0d",1.1485,24
"9",512,6,"t0d",1.0575,24
"9",512,7,"t0d",1.01,24
"9",512,8,"t0d",1.0745,24
"9",512,9,"t0d",0.9765,24
"9",512,10,"t0d",0.941,24
"9",512,11,"t0d",1.0085,24
"9",512,12,"t0d",0.838,24
"10",0,1,"t0d",1.466,24
"10",0,2,"t0d",1.5115,24
"10",0,3,"t0d",1.4855,24
"10",0,4,"t0d",1.4805,24
"10",0,5,"t0d",1.506,24
"10",0,6,"t0d",1.444,24
"10",0,7,"t0d",1.442,24
"10",0,8,"t0d",1.419,24
"10",0,9,"t0d",1.353,24
"10",0,10,"t0d",1.4805,24
"10",0,11,"t0d",1.4805,24
"10",0,12,"t0d",1.475,24
"10",1,1,"t0d",0.3175,24
