line,gen,enviro,Time,OD.24,OD.48,OD.72
A04,MA4_t0,128,24,0.336,0.623,
A04,MA4_t0,128,24,0.405,0.378,
A04,MA4_t0,128,24,0.266,0.41,
A04,MA4_t0,128,24,0.174,0.457,
A04,MA4_t0,128,24,0.165,0.363,
A04,MA4_t0,128,24,0.223,0.435,
A04,MA4_t0,128,24,0.297,0.406,
A04,MA4_t0,128,24,0.189,0.411,
A04,MA4_t0,128,24,0.346,0.433,
A05,MA4_t0,128,24,1.727,1.875,
A05,MA4_t0,128,24,1.516,1.814,
A05,MA4_t0,128,24,1.592,1.807,
A05,MA4_t0,128,24,1.608,1.81,
A05,MA4_t0,128,24,1.588,1.808,
A05,MA4_t0,128,24,1.551,1.718,
A05,MA4_t0,128,24,1.535,1.709,
A05,MA4_t0,128,24,2.325,2.172,
A05,MA4_t0,128,24,1.506,1.733,
A05,MA4_t0,128,24,1.493,1.78,
A05,MA4_t0,128,24,1.582,1.822,
A05,MA4_t0,128,24,1.61,1.799,
A06,MA4_t0,128,24,0.315,0.411,
A06,MA4_t0,128,24,0.293,0.364,
A06,MA4_t0,128,24,0.236,0.312,
A06,MA4_t0,128,24,0.227,0.277,
A06,MA4_t0,128,24,0.2,0.255,
A06,MA4_t0,128,24,0.169,0.217,
A06,MA4_t0,128,24,0.212,0.356,
A06,MA4_t0,128,24,0.196,0.43,
A06,MA4_t0,128,24,0.256,0.279,
A06,MA4_t0,128,24,0.215,0.264,
A06,MA4_t0,128,24,0.197,0.268,
A06,MA4_t0,128,24,0.327,0.745,
A07,MA4_t0,128,24,0.143,0.325,
A07,MA4_t0,128,24,0.138,0.291,
A07,MA4_t0,128,24,0.126,0.303,
A07,MA4_t0,128,24,0.145,0.389,
A07,MA4_t0,128,24,0.14,0.269,
A07,MA4_t0,128,24,0.131,0.258,
A07,MA4_t0,128,24,0.147,0.302,
A07,MA4_t0,128,24,0.108,0.266,
A07,MA4_t0,128,24,0.144,0.277,
A07,MA4_t0,128,24,0.114,0.26,
A07,MA4_t0,128,24,0.146,0.347,
A07,MA4_t0,128,24,0.092,0.279,
A08,MA4_t0,128,24,0.417,0.473,
A08,MA4_t0,128,24,0.323,0.372,
A08,MA4_t0,128,24,0.191,0.222,
A08,MA4_t0,128,24,0.28,0.329,
A08,MA4_t0,128,24,0.306,0.353,
A08,MA4_t0,128,24,0.291,0.332,
A08,MA4_t0,128,24,0.181,0.37,
A08,MA4_t0,128,24,2.238,2.358,
A08,MA4_t0,128,24,0.209,0.359,
A08,MA4_t0,128,24,0.217,0.342,
A08,MA4_t0,128,24,0.337,0.363,
A08,MA4_t0,128,24,0.281,0.289,
A09,MA4_t0,1,24,1.33,1.996,
A09,MA4_t0,1,24,1.856,2.026,
A09,MA4_t0,1,24,1.666,1.82,
A09,MA4_t0,1,24,1.568,1.757,
A09,MA4_t0,1,24,1.696,1.999,
A09,MA4_t0,1,24,1.668,1.827,
A09,MA4_t0,1,24,1.634,1.803,
A09,MA4_t0,1,24,2.328,2.49,
A09,MA4_t0,1,24,1.606,1.973,
A09,MA4_t0,1,24,1.573,1.979,
A09,MA4_t0,1,24,1.453,1.7,
A09,MA4_t0,1,24,1.56,1.757,
