strain,rep,enviro,anc.1.72,evol.1.72,MIC24,MIC48,MIC72,MIC24.10,MIC48.10,MIC72.10,SMG24,SMG48,SMG72,SMG24.10,SMG48.10,SMG72.10,tabMIC10
7,7,1,1.548,1.811,1,1,1,4,4,4,0.05713128,0.125467884,0.261516602,0.045556452,0.107262804,0.273777909,>1
7,8,1,1.491875,1.802,1,1,1,1,1,1,0.052040816,0.096401404,0.230454479,0.073592112,0.1341901,0.30178416,1
7,9,1,1.48025,1.7735,1,1,1,1,1,4,0.041625535,0.135440096,0.283639486,0.099161378,0.153898254,0.31782428,1
7,10,1,1.36,1.6885,1,1,1,1,1,1,0.052596758,0.151984548,0.330872382,0.110421836,0.222508063,0.441368453,1
7,11,1,1.348875,1.7335,1,1,1,1,1,4,0.122305683,0.224245129,0.416671611,0.074263502,0.145432325,0.357911488,1
7,12,1,1.297875,1.658,1,1,1,1,1,1,0.045193269,0.134014063,0.300814527,0.048898072,0.078087798,0.182705149,1
8,1,1,1.357875,1.778,0.5,1,1,1,4,4,0.047727624,0.142387012,0.247364568,0.147288349,0.25605449,0.3241651,1
8,2,1,1.20375,1.8065,0.5,1,1,1,4,4,0.110618067,0.182901707,0.310938188,0.163831935,0.299048369,0.400193244,1
8,3,1,1.2865,1.7885,0.5,1,1,1,1,4,0.101874311,0.210818756,0.398242788,0.090062381,0.12000721,0.209242665,1
8,4,1,1.34525,1.8125,0.5,1,1,1,4,4,0.117902973,0.204397204,0.369547445,0.132215944,0.256687315,0.363322043,1
8,5,1,1.221875,1.736,0.5,1,1,4,4,4,0.109262166,0.248186376,0.403479799,0.08083244,0.112955486,0.159450687,>1
8,6,1,1.18175,1.7925,0.5,1,1,4,1,512,0.10083294,0.196429625,0.30596729,0.196587447,0.413675475,0.646510493,>1
8,7,1,1.198375,1.754,0.5,1,1,1,1,4,0.083366402,0.173975833,0.314899882,0.165046492,0.129687263,0.221852074,1
8,8,1,1.09875,1.771,0.5,1,1,4,4,4,0.116800247,0.185522475,0.288550958,0.026974622,0.134567901,0.194148053,>1
8,9,1,1.0885,1.776,0.5,1,1,1,4,4,0.122669316,0.171937574,0.276134355,0.146574332,0.276344319,0.356109906,1
8,10,1,1.129375,1.6645,0.5,1,1,1,1,1,0.114462672,0.181748034,0.280243251,0.083881241,0.113512491,0.204469949,1
8,11,1,1.0895,1.728,0.5,1,1,1,1,1,0.114940633,0.166462704,0.262878788,0.091381048,0.060867953,0.125203674,1
8,12,1,1.148375,1.7485,0.5,1,1,1,1,1,0.091836066,0.191326531,0.326718912,0.099001745,0.066621703,0.118834081,1
9,1,1,0.712625,1.42525,0.25,0.000125,0.000125,0.25,0.000125,1,0.097203504,0.140440963,0.203731235,0.128553594,0.205846422,0.343744582,<1
9,2,1,0.667875,1.232,0.25,0.000125,0.000125,0.25,0.000125,1,0.096663262,0.142952243,0.204348461,0.174220273,0.223772915,0.310559006,<1
9,3,1,0.702875,1.372,0.25,0.000125,0.000125,1,1,1,0.09383433,0.142886091,0.191865195,0.086904241,0.104584092,0.128452433,1
9,4,1,0.73325,1.71475,0.25,0.000125,0.000125,1,1,1,0.095435262,0.140271755,0.190520365,0.110368957,0.138725268,0.156124354,1
9,5,1,0.8385,1.55,0.25,0.000125,0.000125,0.25,1,1,0.127514691,0.16842258,0.230793835,0.167517497,0.316714136,0.432558832,<1
9,6,1,0.8135,1.236,0.25,0.000125,0.000125,0.25,0.000125,1,0.109065551,0.167042295,0.230296827,0.113490901,0.145268769,0.255978183,<1
9,7,1,0.747625,1.57825,0.25,0.000125,0.000125,0.25,0.000125,1,0.116886727,0.158494435,0.206426999,0.084254897,0.201802077,0.357750669,<1
9,8,1,0.7845,1.78725,0.25,0.000125,0.000125,1,1,1,0.122366373,0.178878559,0.236959675,0.04616451,0.05246689,0.068773503,1
9,9,1,0.8165,1.1305,0.25,0.000125,0.000125,0.25,0.000125,1,0.105041725,0.160290698,0.225899912,0.128704078,0.156718404,0.250330175,<1
9,10,1,0.72475,1.5185,0.25,0.000125,0.000125,0.25,1,1,0.094200897,0.144128009,0.197881107,0.204513727,0.282808483,0.411406844,<1
9,11,1,0.72275,1.2165,0.25,0.000125,0.000125,1,0.000125,1,0.086417186,0.128825314,0.184897488,0.211713996,0.074641197,0.106260953,1
9,12,1,0.674,1.45575,0.25,0.000125,0.000125,1,1,4,0.078229167,0.117755344,0.167486379,0.22884981,0.16636216,0.307099746,1
10,1,1,1.507625,1.61025,1,512,512,1,1,512,0.105497961,0.685688406,0.827754269,0.087006754,0.664652568,0.846470236,1
10,2,1,1.499375,1.60775,1,512,512,1,512,512,0.116435386,0.699961977,0.839995449,0.096735669,0.701941968,0.863983371,1
10,3,1,1.51575,1.747,1,512,512,1,1,1,0.123940128,0.704146489,0.842023845,0.063588191,0.063483778,0.162333283,1
10,4,1,1.52925,1.606,1,512,512,1,512,512,0.106720384,0.670906499,0.831309952,0.086072817,0.679264289,0.83556847,1
10,5,1,1.501125,1.729,1,512,512,1,1,1,0.09618435,0.643274632,0.830961393,0.064434414,0.135516873,0.241367713,1
10,6,1,1.512375,1.50075,1,512,512,1,1,512,0.107644018,0.684626547,0.843305059,0.110578662,0.674722602,0.833736946,1
10,7,1,1.513875,1.60425,1,512,512,0.25,1,512,0.114130435,0.624275031,0.811593656,0.144415776,0.588954278,0.824782478,<1
10,8,1,1.5195,1.724,1,512,512,0.25,1,512,0.155023923,0.628490284,0.806352976,0.139314516,0.50028169,0.728844706,<1
10,9,1,1.443375,1.5355,1,512,512,0.25,1,1,0.173338923,0.667246908,0.835969697,0.103099574,0.50253978,0.772747918,<1
10,10,1,1.483125,1.711,1,512,512,1,1,512,0.137716996,0.655096125,0.811874811,0.087880972,0.585801995,0.858922275,1
10,11,1,1.4955,1.552,1,512,512,0.25,1,1,0.158768144,0.652531646,0.811249065,0.14890925,0.552296873,0.762608436,<1
10,12,1,1.496375,1.7385,1,512,512,1,1,4,0.194298246,0.680223261,0.823404899,0.078954965,0.267804614,0.48722822,1
11,1,1,0.710375,1.445,0.25,0.000125,0.000125,0.25,512,512,0.116917729,0.233343143,0.277016969,0.185290546,0.632016449,0.792699018,<1
11,2,1,0.745375,1.75975,0.25,0.000125,0.000125,1,1,1,0.134554025,0.234054452,0.293048762,0.128359909,0.23655994,0.350250258,1
11,3,1,0.60375,1.784,0.25,0.000125,0.000125,1,1,1,0.116259116,0.244012373,0.291988131,0.123908664,0.158895159,0.216564462,1
11,4,1,0.63975,1.2965,0.25,0.000125,0.000125,0.25,4,32,0.113317191,0.232345172,0.277818718,0.148490231,0.543997617,0.662024941,<1
11,5,1,0.622125,1.2865,0.25,0.000125,0.000125,0.25,8,512,0.111854513,0.206210449,0.253441654,0.187712805,0.568621614,0.688394324,<1
11,6,1,0.595375,1.48125,0.25,0.000125,0.000125,0.25,512,512,0.101402885,0.206674577,0.247614815,0.228798842,0.728425173,0.825104353,<1
11,7,1,0.680375,1.47175,0.25,0.000125,0.000125,0.25,512,512,0.098953336,0.208376498,0.265253484,0.161835749,0.637073884,0.78584768,<1
11,8,1,0.745125,1.58275,0.25,0.000125,0.000125,1,512,512,0.09406495,0.194263862,0.249765258,0.106994329,0.682308483,0.851079454,1
11,9,1,0.593,1.5475,0.25,0.000125,0.000125,0.25,1,4,0.108108108,0.220917539,0.256859553,0.107382906,0.375357995,0.562246398,<1
11,10,1,0.586875,0.88575,0.25,0.000125,0.000125,0.25,0.000125,1,0.110817308,0.218200682,0.260059524,0.115524781,0.293191866,0.406338028,<1
11,11,1,0.547625,1.135,0.25,0.000125,0.000125,0.25,1,8,0.105901462,0.253135556,0.304752066,0.137022631,0.388651865,0.573242301,<1
11,12,1,0.483125,0.80625,0.25,0.000125,0.000125,0.25,0.000125,0.000125,0.115176252,0.233941388,0.274742653,0.100278552,0.275,0.383138173,<1
12,1,1,1.670875,1.7105,32,32,32,512,32,32,0.207916485,0.244475352,0.394331101,NA,NA,NA,>1
12,2,1,1.68325,1.67875,32,32,32,512,32,32,0.238711045,0.268175477,0.419009163,NA,NA,NA,>1
12,3,1,1.695375,1.6945,32,32,32,1,32,32,0.246786632,0.291769802,0.390409899,0.897047833,0.813332805,0.834284833,1
12,4,1,1.70675,1.71325,32,32,32,1,32,32,0.248936647,0.285978714,0.473303585,0.840649693,0.80782419,0.822708556,1
12,5,1,1.692,1.71675,32,32,32,1,32,32,0.275516342,0.277769147,0.502250504,0.85759018,0.811347518,0.834839514,1
12,6,1,1.683625,1.708,32,32,32,512,32,32,0.22522958,0.247776564,0.37936409,NA,NA,NA,>1
12,7,1,1.6795,1.71525,32,32,32,512,32,32,0.300852338,0.356550321,0.635740971,NA,NA,NA,>1
12,8,1,1.702375,1.6465,32,32,32,1,32,32,0.337471264,0.507916796,0.640608035,0.776315789,0.738594963,0.81564934,1
12,9,1,1.683875,1.715,32,32,32,512,32,32,0.266734024,0.246673971,0.342088806,NA,NA,NA,>1
12,10,1,1.67625,1.71025,32,32,32,1,32,32,0.270642202,0.219987429,0.319522913,0.747076346,0.812915217,0.832903981,1
12,11,1,1.688,1.72325,32,32,32,1,32,32,0.286555972,0.221841408,0.303292626,0.792133665,0.80338785,0.833679754,1
12,12,1,1.671125,1.66525,32,32,32,32,32,32,0.200089326,0.224486597,0.321103794,0.473908918,0.199200639,0.270816749,>1
13,1,1,1.217125,1.67925,0.25,0.000125,1,1,1,1,0.037595178,0.119904363,0.295837685,0.041276347,0.121782725,0.324210197,1
13,2,1,1.18,1.48875,0.25,0.000125,1,1,1,512,0.042159549,0.12172471,0.358545346,0.076700756,0.224423883,0.764861352,1
13,3,1,1.222125,1.6045,0.25,0.000125,1,1,1,1,0.049365303,0.141217444,0.405778443,0.039579704,0.11239888,0.321963266,1
13,4,1,1.143875,1.46625,0.25,0.000125,1,1,1,1,0.033849069,0.123780945,0.346165324,0.075367647,0.142266578,0.472849552,1
13,5,1,1.141625,1.28575,0.25,0.000125,1,1,1,1,0.033338635,0.113141994,0.322350819,0.155517578,0.127618621,0.32066427,1
13,6,1,1.216125,1.61125,0.25,0.000125,1,1,1,1,0.034893617,0.117014204,0.37488024,0.046134249,0.099550778,0.252194382,1
13,7,1,1.12775,1.5905,0.25,0.000125,1,1,1,1,0.036600063,0.118692574,0.356755952,0.054636835,0.05805153,0.152777778,1
13,8,1,1.096625,1.72725,0.25,0.000125,1,1,1,1,0.047070156,0.12739767,0.370689655,0.032908799,0.0446898,0.124699429,1
13,9,1,1.11625,1.69875,0.25,0.000125,1,1,1,1,0.051273018,0.15677889,0.394900422,0.041681447,0.051941599,0.079362058,1
13,10,1,1.2595,1.55525,0.25,0.000125,1,1,1,1,0.058042069,0.183069909,0.384152759,0.073380567,0.066848907,0.149681275,1
13,11,1,1.130125,1.64025,0.25,0.000125,1,1,1,1,0.029993699,0.08977631,0.304803103,0.034606044,0.108613046,0.161223098,1
13,12,1,1.231125,1.5595,0.25,0.000125,1,1,1,4,0.052973806,0.176019477,0.469646632,0.048138298,0.131598421,0.479129227,1
14,1,1,1.16325,1.72825,0.25,1,1,1,1,1,0.169202833,0.412333235,0.600594442,0.079020979,0.172443098,0.216838996,1
14,2,1,1.2135,1.6825,0.25,1,1,1,1,1,0.143164063,0.389417201,0.587888707,0.164793051,0.098434098,0.124351145,1
14,3,1,1.2185,1.7065,0.25,1,1,1,1,1,0.130237542,0.442731411,0.620111732,0.068625828,0.13730629,0.25525257,1
14,4,1,1.1975,1.279,0.25,1,1,0.25,1,1,0.124941975,0.401244813,0.574844629,0.136989343,0.285031185,0.429468741,<1
14,5,1,1.18475,1.785,0.25,1,1,1,1,1,0.133201225,0.391051454,0.584233229,0.041557018,0.066032811,0.09176514,1
14,6,1,1.159375,1.33975,0.25,1,1,1,1,1,0.110027397,0.400029963,0.555910448,0.098172368,0.300260297,0.504666869,1
14,7,1,1.17375,1.11275,0.25,1,1,0.25,0.000125,1,0.147745061,0.403312444,0.543643942,0.16778679,0.376865785,0.548714092,<1
14,8,1,1.13475,1.7,0.25,1,1,1,1,1,0.138821429,0.364945412,0.499026549,0.194271758,0.188641647,0.333509275,1
14,9,1,1.13025,1.349,0.25,1,1,1,0.000125,1,0.180938658,0.396611694,0.567055306,0.146098004,0.163637752,0.300872968,1
14,10,1,1.11425,1.75225,0.25,1,1,1,1,1,0.132731214,0.394221557,0.536413937,0.047961957,0.055977444,0.092816134,1
14,11,1,1.038875,1.62875,0.25,1,1,1,1,1,0.138895706,0.361445428,0.550568433,0.211477987,0.05688041,0.112190679,1
14,12,1,1.0855,1.06225,0.25,1,1,1,0.000125,1,0.130518304,0.372074229,0.521233902,0.088204952,0.301788717,0.493152746,1
15,1,1,1.0425,1.39225,0.25,0.000125,1,0.25,1,512,0.051642881,0.134895191,0.395476478,0.143451569,0.574311927,0.868376068,<1
15,2,1,1.21075,1.49275,0.25,0.000125,1,1,1,1,0.047170756,0.154836703,0.401234187,0.036717872,0.053969359,0.110186932,1
15,3,1,1.296625,1.50125,0.25,0.000125,1,1,1,1,0.051180707,0.191782946,0.440992647,0.032229965,0.054007734,0.154113155,1
15,4,1,1.13975,1.459,0.25,0.000125,1,1,1,1,0.043419312,0.149317618,0.371931436,0.032915058,0.041496175,0.101389377,1
15,5,1,1.28,1.45375,0.25,0.000125,1,1,1,1,0.046123128,0.167668232,0.409451503,0.037671233,0.046411786,0.098807192,1
15,6,1,1.300875,1.491,0.25,0.000125,1,0.25,1,1,0.049966307,0.198029403,0.418179022,0.094045961,0.297179749,0.500033367,<1
15,7,1,1.170625,1.4885,0.25,0.000125,1,1,1,1,0.048137536,0.197734327,0.382421278,0.040173724,0.0603902,0.114971347,1
15,8,1,1.220125,1.48275,0.25,0.000125,1,1,1,4,0.040680227,0.18272364,0.376056978,0.073550725,0.097272133,0.293345791,1
15,9,1,1.2545,1.36425,0.25,0.000125,1,1,1,1,0.048911223,0.1989742,0.420296114,0.045454545,0.112125341,0.223266537,1
15,10,1,1.221375,1.55375,0.25,0.000125,1,1,1,1,0.048093645,0.231740081,0.482730924,0.030984795,0.134890915,0.418771111,1
15,11,1,1.1065,1.5405,0.25,0.000125,1,1,4,4,0.038572137,0.172550232,0.386125574,0.058250267,0.267516722,0.641665283,1
15,12,1,1.173,1.4775,0.25,0.000125,1,1,1,4,0.042779661,0.132,0.340924293,0.052450091,0.129598365,0.266758047,1
16,1,1,1.325,1.70625,0.25,1,1,1,1,1,0.109604142,0.365605475,0.559142347,0.042357461,0.112863706,0.237295826,1
16,2,1,1.391625,1.72525,0.25,1,1,1,1,1,0.153681627,0.359317942,0.533919103,0.060537712,0.220566038,0.463649404,1
16,3,1,1.39375,1.74125,0.25,1,1,1,1,1,0.115506924,0.33633383,0.510782557,0.036932901,0.133530823,0.220969434,1
16,4,1,1.416375,1.7425,0.25,1,1,1,1,32,0.118557084,0.300923444,0.454548188,0.08485023,0.286052276,0.514843279,1
16,5,1,1.40525,1.7255,0.25,1,1,1,1,1,0.125483178,0.311235276,0.480471941,0.062636911,0.137471783,0.300727355,1
16,6,1,1.406625,1.69675,0.25,1,1,1,1,4,0.154446855,0.31702609,0.462494345,0.093114126,0.306613837,0.474482023,1
16,7,1,1.338,1.73225,0.25,1,1,1,1,1,0.09719292,0.294738416,0.466113458,0.049413189,0.136289121,0.217345873,1
16,8,1,1.44825,1.736,0.25,1,1,1,1,1,0.149046133,0.349636876,0.528039042,0.072681332,0.164298534,0.248347852,1
16,9,1,1.304375,1.728,0.25,1,1,1,1,1,0.119336796,0.29168682,0.476060606,0.103962741,0.227863588,0.402361005,1
16,10,1,1.248875,1.717,0.25,1,1,1,1,1,0.147886792,0.326710147,0.51657021,0.052687916,0.184561189,0.318546538,1
16,11,1,1.322125,1.72,0.25,1,1,1,1,1,0.125419537,0.303643967,0.467297866,0.065856777,0.122095638,0.26238181,1
16,12,1,1.351625,1.73475,0.25,1,1,1,1,1,0.174244041,0.351459854,0.502467827,0.039893617,0.109210727,0.243550603,1
17,1,1,0.439125,1.67525,0.25,0.000125,0.000125,1,4,512,0.041987382,0.075096697,0.188429994,0.1277347,0.581122833,0.825144289,1
17,2,1,0.411,1.67325,0.25,0.000125,0.000125,8,512,512,0.042439725,0.072341706,0.243875577,0.148806457,0.935790725,0.932589286,>1
17,3,1,0.460875,1.557,0.25,0.000125,0.000125,1,1,1,0.051156161,0.099078689,0.228814826,0.056610703,0.092329106,0.185731857,1
17,4,1,0.475375,1.22475,0.25,0.000125,0.000125,1,1,1,0.041253598,0.091280204,0.226694473,0.358118971,0.067923869,0.222834251,1
17,5,1,0.439,1.59925,0.25,0.000125,0.000125,1,1,1,0.038169426,0.070272714,0.160421053,0.040109686,0.102281369,0.230993047,1
17,6,1,0.510875,1.44625,0.25,0.000125,0.000125,1,1,1,0.041904155,0.08212721,0.235583558,0.118777568,0.045500167,0.075791667,1
