"name","MIC24","MIC48","MIC72","MIC24.10","MIC48.10","MIC72.10","SMG24","SMG48","SMG72","SMG24.10","SMG48.10","SMG72.10","SMG24.2","SMG48.2","SMG72.2","SMG24.10.2","SMG48.10.2","SMG72.10.2","line","rep","change24","change48","change72"
"4_2",0.5,0.5,0.5,1,1,1,0.0916666666666667,0.30775,0.48375,0.10655,0.21145,0.4236,0.0638903409420921,0.181643795189612,0.284684419596881,0.100590040122728,0.124786072587784,0.244466887894965,"4","2",0.5,0.5,0.5
"4_3",0.5,0.5,1,1,1,1,0.0936666666666667,0.190458333333333,0.367291666666667,0.09655,0.12425,0.2009,0.0647875958268488,0.113048424593164,0.215136427978718,0.0670602535162355,0.0714080459770115,0.114619883040936,"4","3",0.5,0.5,0
"4_4",0.5,0.5,0.5,1,4,4,0.082375,0.172625,0.346583333333333,0.1297,0.36485,0.73635,0.0568005516290295,0.100568016312263,0.201414112063538,0.085021304490331,0.210106536135906,0.421012006861063,"4","4",0.5,3.5,3.5
"4_5",0.5,0.5,1,1,1,1,0.07425,0.333708333333333,0.532333333333333,0.05825,0.1052,0.21,0.0550611790878754,0.196994293585203,0.31249388513844,0.0768976897689769,0.0610740203193033,0.118895966029724,"4","5",0.5,0.5,0
"4_6",0.5,0.5,0.5,1,512,512,0.0680833333333333,0.202083333333333,0.396083333333333,0.22565,1.18075,1.43595,0.048648326783375,0.119505223733491,0.23329897413243,0.186372083419368,0.700014821402105,0.837777129521587,"4","6",0.5,511.5,511.5
"4_7",0.5,0.5,1,1,1,1,0.0719583333333333,0.157,0.307166666666667,0.0654,0.0781,0.13875,0.0518431796349664,0.0927621861152142,0.180447447006413,0.0488880583068585,0.044833524684271,0.0792291220556745,"4","7",0.5,0.5,0
"4_8",0.5,0.5,1,1,1,1,0.0743333333333333,0.136875,0.283125,0.0661,0.11325,0.26795,0.0513440396016808,0.0794514584240313,0.163774403470716,0.0561120543293718,0.0663736263736264,0.15353101274889,"4","8",0.5,0.5,0
"4_9",0.5,0.5,1,1,1,1,0.0975,0.200666666666667,0.380208333333333,0.0609,0.09435,0.17335,0.0694815606627472,0.118720110437312,0.224146401375583,0.0778274760383387,0.055451072583015,0.0995692130959219,"4","9",0.5,0.5,0
"4_10",0.5,0.5,0.5,1,1,1,0.068375,0.133666666666667,0.292625,0.0613,0.10955,0.27365,0.0497997086671522,0.0790342448879034,0.172385861561119,0.052415562206071,0.0653932248918072,0.162042931162102,"4","10",0.5,0.5,0.5
"4_11",0.5,0.5,0.5,1,1,1,0.0707083333333333,0.250291666666667,0.448208333333333,0.05345,0.0654,0.136,0.0514242424242424,0.144593683805122,0.258631467589921,0.0781718464351005,0.038206513801665,0.0788063160944517,"4","11",0.5,0.5,0.5
"4_12",0.5,0.5,0.5,1,1,1,0.0975833333333333,0.185625,0.360125,0.10725,0.2018,0.30025,0.0699772917413649,0.110491071428571,0.213407407407407,0.158771280532939,0.128740031897927,0.178242802018403,"4","12",0.5,0.5,0.5
"5_1",8,512,512,8,512,512,0.477,1.43691666666667,1.50675,0.577666666666667,1.35425,1.4885,0.312992125984252,0.856965359574574,0.897008483405269,0.395594361696057,0.798143509650803,0.879988176174993,"5","1",0,0,0
"5_2",4,512,512,8,512,512,0.4095,1.4478125,1.5291875,0.673666666666667,1.28366666666667,1.45925,0.272681871150325,0.871126654632972,0.915681137724551,0.454565901934323,0.765226030799801,0.868084473527662,"5","2",4,0,0
"5_3",4,512,512,512,512,512,0.3785,1.4556875,1.538375,NA,NA,NA,0.274076755973932,0.882636046687889,0.927570093457944,NA,NA,NA,"5","3",508,0,0
"5_4",4,512,512,8,512,512,0.414625,1.4598125,1.5513125,0.537166666666667,1.41841666666667,1.53533333333333,0.266725635252493,0.869971692491061,0.921891249442876,0.378419631325584,0.828756451455838,0.893414799728445,"5","4",4,0,0
"5_5",4,512,512,4,512,512,0.370375,1.447625,1.5569375,0.632625,1.48325,1.5858125,0.245403346032798,0.869966947115385,0.932577118897874,0.430503572643756,0.895412013281014,0.954159145607702,"5","5",0,0,0
"5_6",4,512,512,4,512,512,0.25875,1.4161875,1.526,0.553375,1.3230625,1.514,0.17383271750084,0.855443974630021,0.916378922083771,0.388674275680421,0.794870832081706,0.904825937546691,"5","6",0,0,0
"5_7",4,512,512,1,512,512,0.2416875,1.3885,1.5284375,0.6415,1.34545,1.54125,0.166336889194769,0.841260224174493,0.918670172802404,0.434988981183251,0.799435531788473,0.911038865080538,"5","7",-3,0,0
"5_8",4,512,512,4,512,512,0.2653125,1.2915,1.452375,0.7003125,1.365625,1.54225,0.177734047898175,0.770929711983286,0.862583518930958,0.465788160957765,0.810459940652819,0.909479581306207,"5","8",0,0,0
"5_9",1,512,512,1,512,512,0.3275,1.3679,1.5365,0.55375,1.27745,1.52155,0.255310855583707,0.826525679758308,0.923793777243349,0.392035398230089,0.764940119760479,0.905415055043142,"5","9",0,0,0
"5_10",1,512,512,32,512,512,0.40365,1.33545,1.5125,0.5715,1.150625,1.4515,0.316402116402116,0.813306942752741,0.915834090221011,0.396462018730489,0.690236952609478,0.865533691115086,"5","10",31,0,0
"5_11",4,512,512,8,128,512,0.236125,1.412625,1.5278125,0.463333333333333,1.14325,1.46416666666667,0.177738050432819,0.843106535362578,0.907252078384798,0.346482208512495,0.680708544209586,0.866370808678501,"5","11",4,-384,0
"5_12",4,512,512,32,512,512,0.5225625,1.4125,1.518875,0.69375,1.217125,1.463625,0.341991164921466,0.85205851304479,0.914296463506396,0.467959527824621,0.741471215351812,0.885703479576399,"5","12",28,0,0
"6_1",1,1,1,1,4,4,0.09415,0.22955,0.4272,0.16595,0.4555,0.5895,0.0605660984239305,0.132687861271676,0.251961073429667,0.156630486078339,0.280956052428682,0.364226135310473,"6","1",0,3,3
"6_2",1,1,1,1,1,4,0.10085,0.2868,0.4761,0.11695,0.313,0.50775,0.0660878112712975,0.168681076312307,0.282635796972395,0.127674672489083,0.189266817838246,0.302953460620525,"6","2",0,0,3
"6_3",1,1,1,1,1,4,0.09705,0.2673,0.48935,0.15685,0.36095,0.5836,0.0634728580771746,0.156613446609052,0.289727649496744,0.173795013850416,0.218658185673179,0.346555819477435,"6","3",0,0,3
"6_4",1,1,1,1,1,1,0.1004,0.2402,0.42015,0.1848,0.28345,0.33835,0.064030612244898,0.139286749782546,0.246711685261304,0.123632714500753,0.163089758342923,0.194874010079194,"6","4",0,0,0
"6_5",1,1,1,1,1,1,0.0849,0.2321,0.41705,0.14275,0.3594,0.4638,0.0564776317977715,0.136228906823184,0.246994373704471,0.120185224163334,0.217028985507246,0.276812891674127,"6","5",0,0,0
"6_6",1,1,1,1,1,1,0.0887,0.2277,0.40645,0.0965,0.19905,0.26395,0.0579643849044274,0.133665981802172,0.241180833704198,0.0762393837645665,0.118694096601073,0.155745685204307,"6","6",0,0,0
"6_7",1,1,1,1,1,1,0.07835,0.357,0.54105,0.11315,0.3451,0.48595,0.0519907100199071,0.211336391889892,0.318921308576481,0.0775265501884207,0.200960838550007,0.283022714036109,"6","7",0,0,0
"6_8",1,1,1,1,1,1,0.07865,0.2167,0.39875,0.13515,0.3072,0.4278,0.0508074935400517,0.125787258743288,0.233426020781502,0.112227527506747,0.187202925045704,0.260496270360786,"6","8",0,0,0
"6_9",1,1,1,1,1,1,0.07625,0.21485,0.38035,0.13225,0.20005,0.2552,0.0511659117597718,0.127111374057092,0.226230483271375,0.088107928047968,0.115652550946669,0.147942028985507,"6","9",0,0,0
"6_10",1,1,1,1,1,1,0.07085,0.20955,0.3498,0.1261,0.27385,0.36705,0.0485523385300668,0.12439893143366,0.208493518104604,0.0888340965128566,0.159819083746717,0.214649122807018,"6","10",0,0,0
"6_11",1,1,1,1,1,1,0.0717,0.24315,0.43445,0.09875,0.22775,0.34545,0.047784071976008,0.141964676689534,0.255483681270215,0.114095898324668,0.139062738513204,0.208857315598549,"6","11",0,0,0
"6_12",1,1,1,1,1,1,0.077,0.2422,0.399,0.0841,0.13225,0.2065,0.0512053200332502,0.142933018589554,0.237041437694935,0.0794896030245747,0.0787319541598452,0.122570114260276,"6","12",0,0,0
"7_1",1,1,1,1,1,1,0.09655,0.2097,0.46765,0.08915,0.21645,0.4977,0.0619207952541286,0.122865094477809,0.275452805183331,0.0923355774210254,0.136046511627907,0.313561190738699,"7","1",0,0,0
"7_2",1,1,1,1,1,4,0.09255,0.2845,0.5721,0.0994,0.2223,0.4628,0.0604704344985299,0.16942087241328,0.340181358703731,0.0943745549489675,0.13448275862069,0.277458033573141,"7","2",0,0,3
"7_3",1,1,1,1,4,4,0.0662,0.2385,0.53045,0.13945,0.3693,0.68635,0.0433813892529489,0.141480053388699,0.313829315190061,0.0927965396772584,0.219299287410926,0.406665679158643,"7","3",0,3,3
"7_4",1,1,1,1,4,512,0.08885,0.2881,0.64065,0.1201,0.4276,1.0591,0.0567097494814106,0.169870283018868,0.37818772136954,0.103915206575817,0.260216035295907,0.627707808564232,"7","4",0,3,511
"7_5",1,1,1,1,4,8,0.07975,0.1992,0.4905,0.12,0.38115,0.8569,0.0528670865097779,0.118430439952438,0.291877417435287,0.100840336134454,0.233440514469453,0.515894039735099,"7","5",0,3,7
"7_6",1,1,1,1,1,8,0.06165,0.2701,0.5447,0.10285,0.3196,0.77335,0.041203007518797,0.161615557217651,0.325291131681099,0.0754862385321101,0.19363829142684,0.465943666214791,"7","6",0,0,7
"7_7",1,1,1,4,4,4,0.0773,0.1927,0.4107,0.03575,0.15625,0.4369375,0.0501134521880065,0.115406497978739,0.245707448399641,0.038471885929513,0.0983942065491184,0.257856299793449,"7","7",3,3,3
"7_8",1,1,1,1,1,1,0.06905,0.1541,0.3721,0.08505,0.18795,0.4456,0.0450938775510204,0.0901696898771211,0.217506941399971,0.0604370225617339,0.110105448154657,0.258543661154627,"7","8",0,0,0
"7_9",1,1,1,1,1,4,0.0523,0.21085,0.44685,0.0893,0.2106,0.4562,0.0344192168476473,0.126465736992053,0.266935483870968,0.0809610154125114,0.126791089704997,0.270822202433957,"7","9",0,0,3
"7_10",1,1,1,1,1,1,0.0694,0.22985,0.5051,0.1275,0.29675,0.60845,0.0459146543169037,0.13928192698076,0.304414645171011,0.0903934774902517,0.182306865304869,0.373798187682384,"7","10",0,0,0
"7_11",0.5,1,1,1,1,4,0.157541666666667,0.335083333333333,0.637833333333333,0.0747,0.1907,0.4726,0.102901153929893,0.199365362685309,0.378423810936418,0.0611292962356792,0.116529178124045,0.286511063958775,"7","11",0.5,0,3
"7_12",1,1,1,1,1,1,0.06275,0.20365,0.45675,0.0448,0.12505,0.30145,0.0418193935354882,0.121873129862358,0.273053355253325,0.0411386593204775,0.0744345238095238,0.178928624424989,"7","12",0,0,0
"8_1",1,1,1,1,4,4,0.06615,0.2476,0.4168,0.20345,0.41415,0.55475,0.0409027670428196,0.14485885622349,0.244099560761347,0.128298912186662,0.238806400461295,0.320803816683533,"8","1",0,3,3
"8_2",0.5,1,1,1,4,4,0.1495,0.304708333333333,0.524625,0.23135,0.45585,0.64695,0.094770206022187,0.179345693545223,0.30810453677874,0.143740292016154,0.260933028048082,0.370426567420555,"8","2",0.5,3,3
"8_3",0.5,1,1,1,1,4,0.13825,0.334458333333333,0.618333333333333,0.11045,0.22655,0.42135,0.0871003307607497,0.196653437209074,0.362180895201835,0.0765551897418125,0.130670511896179,0.243590114178349,"8","3",0.5,0,3
"8_4",0.5,1,1,1,4,4,0.159541666666667,0.322375,0.567708333333333,0.18805,0.40855,0.6151,0.0998695878977569,0.187754804892254,0.331508515815085,0.114874770922419,0.230071800647614,0.347219870166526,"8","4",0.5,3,3
"8_5",0.5,1,1,4,4,4,0.146833333333333,0.387583333333333,0.62775,0.0664375,0.179625,0.2956875,0.0922030350601779,0.228595301287722,0.370244765555883,0.0712084673097535,0.107447285778376,0.177191011235955,"8","5",3.5,3,3
