"line","rep","enviro","data","exper"
7,10,8,0.55,"4"
7,10,32,0.593,"4"
7,11,0,1.827,"4"
7,11,1,1.121,"4"
7,11,8,0.626,"4"
7,11,32,0.548,"4"
7,12,0,1.778,"4"
7,12,1,0.983,"4"
7,12,8,0.498,"4"
7,12,32,0.517,"4"
8,1,0,1.886,"4"
8,1,1,1.676,"4"
8,1,8,0.742,"4"
8,1,32,0.626,"4"
8,2,0,1.86,"4"
8,2,1,1.704,"4"
8,2,8,0.144,"4"
8,2,32,0.355,"4"
8,3,0,1.856,"4"
8,3,1,1.505,"4"
8,3,8,0.549,"4"
8,3,32,0.483,"4"
8,4,0,1.868,"4"
8,4,1,1.652,"4"
8,4,8,0.377,"4"
8,4,32,0.132,"4"
8,5,0,1.862,"4"
8,5,1,1.205,"4"
8,5,8,0.214,"4"
8,5,32,0.402,"4"
8,6,0,1.865,"4"
8,6,1,1.01,"4"
8,6,8,0.343,"4"
8,6,32,0.132,"4"
8,7,0,1.843,"4"
8,7,1,1.026,"4"
8,7,8,0.213,"4"
8,7,32,0.224,"4"
8,8,0,1.829,"4"
8,8,1,0.647,"4"
8,8,8,0.306,"4"
8,8,32,0.362,"4"
8,9,0,1.837,"4"
8,9,1,0.521,"4"
8,9,8,0.399,"4"
8,9,32,0.44,"4"
8,10,0,1.803,"4"
8,10,1,0.685,"4"
8,10,8,0.221,"4"
8,10,32,0.14,"4"
8,11,0,1.813,"4"
8,11,1,0.558,"4"
8,11,8,0.246,"4"
8,11,32,0.393,"4"
8,12,0,1.745,"4"
8,12,1,0.725,"4"
8,12,8,0.497,"4"
8,12,32,0.575,"4"
9,1,0,1.931,"4"
9,1,1,0.994,"4"
9,1,8,0.341,"4"
9,1,32,0.293,"4"
9,2,0,1.922,"4"
9,2,1,0.885,"4"
9,2,8,0.323,"4"
9,2,32,0.34,"4"
9,3,0,1.912,"4"
9,3,1,0.978,"4"
9,3,8,0.311,"4"
9,3,32,0.277,"4"
9,4,0,1.903,"4"
9,4,1,0.654,"4"
9,4,8,0.301,"4"
9,4,32,0.316,"4"
9,5,0,1.897,"4"
9,5,1,0.885,"4"
9,5,8,0.3,"4"
9,5,32,0.275,"4"
9,6,0,1.897,"4"
9,6,1,1.129,"4"
9,6,8,0.327,"4"
9,6,32,0.269,"4"
9,7,0,1.876,"4"
9,7,1,0.845,"4"
9,7,8,0.28,"4"
