"line","rep","enviro","dataM","exper"
10,12,0,1.464,"4"
10,12,1,1.396,"4"
10,12,8,0.187,"4"
10,12,32,0.176,"4"
11,1,0,1.745,"4"
11,1,1,0.394,"4"
11,1,8,0.271,"4"
11,1,32,0.227,"4"
11,2,0,1.367,"4"
11,2,1,1.205,"4"
11,2,8,0.204,"4"
11,2,32,0.241,"4"
11,3,0,1.226,"4"
11,3,1,1.315,"4"
11,3,8,0.211,"4"
11,3,32,0.239,"4"
11,4,0,1.767,"4"
11,4,1,0.414,"4"
11,4,8,0.379,"4"
11,4,32,0.328,"4"
11,5,0,1.701,"4"
11,5,1,0.582,"4"
11,5,8,0.388,"4"
11,5,32,0.238,"4"
11,6,0,1.554,"4"
11,6,1,0.573,"4"
11,6,8,0.397,"4"
11,6,32,0.248,"4"
11,7,0,1.778,"4"
11,7,1,0.681,"4"
11,7,8,0.492,"4"
11,7,32,0.299,"4"
11,8,0,1.759,"4"
11,8,1,1.227,"4"
11,8,8,0.564,"4"
11,8,32,0.284,"4"
11,9,0,0.738,"4"
11,9,1,0.34,"4"
11,9,8,0.339,"4"
11,9,32,0.286,"4"
11,10,0,1.751,"4"
11,10,1,0.546,"4"
11,10,8,0.412,"4"
11,10,32,0.294,"4"
11,11,0,1.788,"4"
11,11,1,0.516,"4"
11,11,8,0.378,"4"
11,11,32,0.27,"4"
11,12,0,1.501,"4"
11,12,1,0.346,"4"
11,12,8,0.239,"4"
11,12,32,0.207,"4"
12,1,0,1.649,"4"
12,1,1,1.674,"4"
12,1,8,1.629,"4"
12,1,32,1.529,"4"
12,2,0,1.616,"4"
12,2,1,1.57,"4"
12,2,8,1.511,"4"
12,2,32,1.438,"4"
12,3,0,1.558,"4"
12,3,1,1.616,"4"
12,3,8,1.583,"4"
12,3,32,1.384,"4"
12,4,0,1.588,"4"
12,4,1,1.6,"4"
12,4,8,1.604,"4"
12,4,32,1.359,"4"
12,5,0,1.617,"4"
12,5,1,1.653,"4"
12,5,8,1.585,"4"
12,5,32,1.48,"4"
12,6,0,1.559,"4"
12,6,1,1.601,"4"
12,6,8,1.556,"4"
12,6,32,1.247,"4"
12,7,0,1.545,"4"
12,7,1,1.597,"4"
12,7,8,1.532,"4"
12,7,32,1.434,"4"
12,8,0,1.455,"4"
12,8,1,1.496,"4"
12,8,8,1.376,"4"
12,8,32,1.418,"4"
12,9,0,1.563,"4"
12,9,1,1.561,"4"
12,9,8,1.492,"4"
12,9,32,1.245,"4"
12,10,0,1.591,"4"
12,10,1,1.588,"4"
12,10,8,1.46,"4"
12,10,32,1.298,"4"
12,11,0,1.696,"4"
12,11,1,1.723,"4"
12,11,8,1.678,"4"
12,11,32,1.534,"4"
12,12,0,1.597,"4"
12,12,1,1.645,"4"
12,12,8,1.594,"4"
12,12,32,1.375,"4"
13,1,0,1.244,"4"
13,1,1,1.205,"4"
13,1,8,0.148,"4"
13,1,32,0.146,"4"
13,2,0,0.607,"4"
13,2,1,0.593,"4"
