"line","rep","enviro","data","sd","se"
1,11,32,0.063,0.0883473259357633,0.0624709932688764
1,11,128,0.0105,0,0
1,11,512,0.0105,NA,NA
1,12,0,1.47675,0.161264534228701,0.0931061222476803
1,12,0.5,1.57,NA,NA
1,12,1,1.683,0.0947523086789973,0.0947523086789973
1,12,4,1.052,NA,NA
1,12,8,0.10525,0.114197745161627,0.114197745161627
1,12,32,0.0706666666666667,0.0932554734765383,0.0659415776780224
1,12,128,0.014,0.00636396103067892,0.00636396103067892
1,12,512,0.0185,NA,NA
2,1,0,1.00575,0.692654856331781,0.399904467758655
2,1,0.5,1.442,NA,NA
2,1,1,0.9865,0.522551911296859,0.522551911296859
2,1,4,0.274,NA,NA
2,1,8,0.084,0.0975807358037436,0.0975807358037436
2,1,32,0.0578333333333333,0.0754922733353112,0.0533810984025869
2,1,128,0.014,0.000707106781186548,0.000707106781186548
2,1,512,0.0145,NA,NA
2,2,0,0.7445,0.511729420690271,0.295447118787779
2,2,0.5,1.389,NA,NA
2,2,1,0.709,0.656195092941116,0.656195092941116
2,2,4,0.202,NA,NA
2,2,8,0.079,0.0820243866176395,0.0820243866176395
2,2,32,0.0558333333333333,0.0669334246347319,0.0473290784472576
2,2,128,0.0155,0.00282842712474619,0.00282842712474619
2,2,512,0.0175,NA,NA
2,3,0,1.102,0.426016235997331,0.24596058853221
2,3,0.5,1.487,NA,NA
2,3,1,1.493,0.0113137084989846,0.0113137084989846
2,3,4,0.226,NA,NA
2,3,8,0.07625,0.0915703281636579,0.0915703281636579
2,3,32,0.0518333333333333,0.0720352922763095,0.0509366436533334
2,3,128,0.01175,0.003889087296526,0.003889087296526
2,3,512,0.0145,NA,NA
2,4,0,1.30325,0.156064890350136,0.0901041064547005
2,4,0.5,1.443,NA,NA
2,4,1,1.4425,0.0360624458405139,0.0360624458405139
2,4,4,0.164,NA,NA
2,4,8,0.08075,0.0837921535706059,0.0837921535706059
2,4,32,0.0591666666666667,0.0700577143028042,0.0495382848579426
2,4,128,0.017,0.00141421356237309,0.00141421356237309
2,4,512,0.018,NA,NA
2,5,0,0.89525,0.651633012771248,0.376220495336327
2,5,0.5,1.455,NA,NA
2,5,1,0.8185,0.652659559035183,0.652659559035183
2,5,4,0.194,NA,NA
2,5,8,0.0695,0.0869741340859453,0.0869741340859453
2,5,32,0.048,0.0701498396291823,0.0496034273009436
2,5,128,0.00875,0.00247487373415291,0.00247487373415291
2,5,512,0.0105,NA,NA
2,6,0,0.70975,0.593514462053509,0.34266573443453
2,6,0.5,1.259,NA,NA
2,6,1,0.989,0.478004184082106,0.478004184082106
2,6,4,0.237,NA,NA
2,6,8,0.0735,0.0898025612106916,0.0898025612106915
2,6,32,0.0513333333333333,0.0733303029676909,0.0518523544949182
2,6,128,0.0105,0.00353553390593273,0.00353553390593273
2,6,512,0.013,NA,NA
2,7,0,0.60025,0.594784204564983,0.343398820615331
2,7,0.5,1.471,NA,NA
2,7,1,0.9,0.636396103067893,0.636396103067893
2,7,4,0.181,NA,NA
2,7,8,0.0725,0.0883883476483184,0.0883883476483184
2,7,32,0.0483333333333333,0.0698880056471304,0.0494182827166896
2,7,128,0.00725000000000001,0.00176776695296637,0.00176776695296637
2,7,512,0.00850000000000001,NA,NA
2,8,0,0.91075,0.511147320577281,0.295111043130849
2,8,0.5,1.47,NA,NA
2,8,1,1.0085,0.519723484172112,0.519723484172112
2,8,4,0.288,NA,NA
2,8,8,0.081,0.0975807358037436,0.0975807358037436
2,8,32,0.0551666666666667,0.0769420777814931,0.0544062649578766
2,8,128,0.01275,0.00459619407771255,0.00459619407771255
2,8,512,0.016,NA,NA
2,9,0,0.8775,0.626637853947557,0.361789533661032
2,9,0.5,1.444,NA,NA
2,9,1,1.3425,0.137885822331377,0.137885822331377
2,9,4,0.251,NA,NA
2,9,8,0.075,0.0975807358037435,0.0975807358037435
2,9,32,0.0486666666666667,0.0730365205450899,0.0516446189517036
2,9,128,0.0085,0.00212132034355964,0.00212132034355964
2,9,512,0.01,NA,NA
2,10,0,0.515,0.621505162220449,0.358826172710718
2,10,0.5,1.451,NA,NA
2,10,1,0.8205,0.799737769521985,0.799737769521985
2,10,4,0.098,NA,NA
2,10,8,0.07025,0.0901561146012848,0.0901561146012848
2,10,32,0.0475,0.071447533197445,0.0505210352229643
